v1;v2;v3;v4;v5;v6;v7;v8
14.08;1176.04;6967.05;1976.14;3090.08;4005.18;5063.12;6059.04
284.18;1324.06;7139.12;2162.12;3236.16;4138.13;5168.01;6272.18
274.05;1388.15;7184.08;2033.16;3258.13;4058.1;5162.01;6310.18
457.13;1544.15;7338.01;2234.14;3415.17;4380.01;5378.15;6510.14
487.1;1528.02;7310.18;2234.17;3472.01;4264;5348.09;6484.1
606.02;1811.17;7529.11;2350.13;3654.08;4426.11;5473.02;6697.02
655.01;1774.1;7548.17;2284.19;3689.17;4368;5484.13;6683.08
842.18;1916.14;7712.06;2409.01;3820.1;4557.2;5597.18;6931.01
65.06;1176.05;6976.05;2043.15;3028.08;4017.15;5081.1;6016.03
230.03;1331.2;7199.12;2164.01;3244.12;4225.07;5259.03;6274.12
283.03;1346.11;7113.08;2131.09;3266.17;4132.18;5194.05;6200.06
433.11;1538.13;7324.01;2244.08;3440.18;4299.13;5334.11;6548.08
468.11;1526.11;7328.18;2200.13;3368;4316.13;5316.02;6552.01
632.16;1832.02;7537.11;2309.03;3657.02;4476.07;5445.01;6687.02
657.08;1774.02;7591.17;2343.02;3666.18;4434.11;5469.1;6760.14
815.09;2029.11;7739.06;2444.11;3878.19;4618.1;5700.12;6953.06
-1.84;1162.13;6970.05;2018.07;3067.02;4012.01;5056.11;6066.11
215.03;1325.13;7151.12;2124.07;3232.14;4195.01;5175.02;6311.06
287.03;1301.18;7095.08;2108.07;3272.08;4126.05;5104.17;6284.11
441.14;1512.04;7423.01;2244.02;3472.01;4336.06;5342.16;6455.08
401.14;1525.06;7365.18;2210;3424.17;4213.02;5325.13;6494.16
638.17;1799.03;7605.11;2411.14;3654.11;4454.02;5512.05;6702.07
663.18;1772.03;7568.17;2266.08;3580.17;4377.01;5466.11;6758.12
834.11;1981.12;7722.06;2423.11;3852.1;4612.14;5584.11;6930.11
96.01;1155.13;6970.05;2022.02;3096.08;3984.05;5022.04;6042.03
209.1;1322.06;7140.12;2108.04;3244.09;4207.02;5214.1;6305.04
272.12;1314.13;7180.08;2066.11;3292.13;4070.01;5222.08;6258.17
469.2;1557.04;7399.01;2221;3432.1;4286.09;5358.11;6488.16
434.09;1486.07;7370.18;2234.17;3460.14;4299.17;5342.04;6455.2
615.06;1728.13;7605.11;2333.17;3669.01;4443.12;5446.06;6697.03
674.16;1726.02;7572.17;2314.06;3681.03;4338.14;5477.14;6790.13
829.09;1924.1;7748.06;2427.1;3878.16;4547.14;5636.08;6998
16;1177.07;6972.05;1964.15;2977.2;4038.02;5060.2;6075.17
230.18;1375.18;7133.12;2120.08;3210.04;4148.15;5192.08;6242.02
263.14;1364.18;7170.08;2118.17;3260.05;4149.13;5225.15;6244.2
448.17;1514.07;7330.01;2244.15;3446.09;4281.14;5345.03;6459.18
377.02;1504.12;7385.18;2190.04;3488.02;4294.17;5348.06;6488.09
674.16;1734.11;7506.11;2327.09;3605.13;4460.03;5498.13;6688
632.16;1785.2;7540.17;2320.14;3664.01;4425.05;5436;6778.12
878.13;1916.03;7829.06;2424.15;3881;4639.11;5611.01;6941.08
92.09;1182.1;6986.05;2030.15;3072.17;4007.06;5072.13;5975.1
232.05;1396.17;7108.12;2112;3238.18;4162.07;5177.1;6231.11
282.02;1372.18;7179.08;2146.07;3261.05;4094.11;5116.1;6312.18
430.17;1578.03;7326.01;2248;3416.18;4320.1;5378.03;6453.14
476.16;1525.09;7312.18;2246.07;3470.11;4282.16;5329.02;6537.05
